institute_id,name,link,tlr,rpc,go,oi,perception,city,state,score,rank
IR-E-C-36995,Sri Krishna College of Engineering and Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-36995.pdf,62.69,4.26,63.05,48.54,12.79,Coimbatore,Tamil Nadu,38.83,83
IR-E-U-0747,Chandigarh University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0747.pdf,64.38,4.74,51.98,74.73,2.16,Mohali,Punjab,38.82,84
IR-E-C-43708,College of Engineering Trivandrum,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-43708.pdf,59.37,10.39,55.58,49.98,16.31,Thiruvananthapuram,Kerala,38.68,85
IR-E-U-0099,Guru Gobind Singh Indraprastha University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0099.pdf,46.4,32.31,49.33,47.61,3.71,New Delhi,Delhi,38.61,86
IR-E-U-0379,Lovely Professional University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0379.pdf,58.12,15.2,48.55,65.11,2.16,Phagwara,Punjab,38.44,87
IR-E-C-27616,University College of Engineering,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-27616.pdf,60.88,4.28,65.2,53.66,4.72,Hyderabad,Telangana,38.43,88
IR-E-U-0555,Graphic Era University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0555.pdf,58.7,12.89,48.0,58.38,14.0,Dehradun,Uttarakhand,38.32,89
IR-E-C-36969,Coimbatore Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-36969.pdf,64.87,6.88,45.81,48.63,26.86,Coimbatore,Tamil Nadu,38.24,90
IR-E-C-1297,Siddaganga Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1297.pdf,60.33,13.44,54.58,50.17,1.63,Tumkur,Karnataka,38.23,91
IR-E-U-0072,National Institute of Technology Patna,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0072.pdf,52.49,16.6,59.09,43.42,13.2,Patna,Bihar,38.21,92
IR-E-C-30045,C.V. Raman Global University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-30045.pdf,59.49,5.07,58.7,57.65,10.7,Bhubaneswar,Odisha,37.94,93
IR-E-U-0733,PES University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0733.pdf,57.56,12.2,55.31,49.22,10.27,Bengaluru,Karnataka,37.94,93
IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0489.pdf,57.7,24.09,36.36,59.88,0.55,Chennai,Tamil Nadu,37.86,95
IR-E-U-0522,Jaypee Institute of Information Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0522.pdf,50.85,19.39,53.38,50.64,9.84,Noida,Uttar Pradesh,37.8,96
